variant,ticks,microseconds
0,8051,805.100
1,4138,413.800
2,2952,295.200
3,2852,285.200
4,2811,281.100
5,5644,564.400
6,3287,328.700
7,2683,268.300
8,2543,254.300
9,2590,259.000
10,2909,290.900
11,2764,276.400
12,2584,258.400
13,3257,325.700
14,2646,264.600
15,2542,254.200
16,2506,250.600
17,3083,308.300
18,3198,319.800
19,2808,280.800
20,3238,323.800
21,2958,295.800
22,2845,284.500
23,2667,266.700
24,3944,394.400
25,2859,285.900
26,3572,357.200
27,2813,281.300
28,3000,300.000
29,3074,307.400
30,2853,285.300
31,3295,329.500
32,3254,325.400
33,3182,318.200
34,2897,289.700
35,3118,311.800
36,2855,285.500
37,3063,306.300
38,3407,340.700
39,2748,274.800
40,2516,251.600
41,2478,247.800
42,2810,281.000
43,2627,262.700
44,2517,251.700
45,2788,278.800
46,2646,264.600
47,3057,305.700
48,2754,275.400
49,2578,257.800
50,2531,253.100
51,2690,269.000
52,2584,258.400
53,2469,246.900
54,2531,253.100
55,2651,265.100
56,2476,247.600
57,2573,257.300
58,3298,329.800
59,3294,329.400
60,2838,283.800
61,2831,283.100
62,3160,316.000
63,3029,302.900
64,3858,385.800
65,3188,318.800
66,2888,288.800
67,2760,276.000
68,2798,279.800
69,2979,297.900
70,3027,302.700
71,2908,290.800
72,3332,333.200
73,3752,375.200
74,3380,338.000
75,3089,308.900
76,2853,285.300
77,2824,282.400
78,2806,280.600
79,3706,370.600
80,2781,278.100
81,2703,270.300
82,2707,270.700
83,2560,256.000
84,2577,257.700
85,2618,261.800
86,2702,270.200
87,2715,271.500
88,2551,255.100
89,2706,270.600
90,2512,251.200
91,2449,244.900
92,2780,278.000
93,2604,260.400
94,2536,253.600
95,5255,525.500
96,3148,314.800
97,2628,262.800
98,2562,256.200
99,2503,250.300
