variant,ticks,microseconds
0,12468,1246.800
1,4415,441.500
2,3806,380.600
3,3791,379.100
4,3852,385.200
5,3746,374.600
6,3783,378.300
7,3696,369.600
8,3758,375.800
9,3915,391.500
10,3713,371.300
11,3949,394.900
12,3647,364.700
13,3757,375.700
14,3712,371.200
15,3823,382.300
16,5502,550.200
17,4520,452.000
18,3854,385.400
19,3621,362.100
20,4084,408.400
21,4142,414.200
22,4402,440.200
23,3829,382.900
24,3652,365.200
25,3686,368.600
26,3680,368.000
27,3670,367.000
28,4380,438.000
29,3626,362.600
30,3875,387.500
31,3675,367.500
32,3903,390.300
33,3774,377.400
34,3781,378.100
35,3672,367.200
36,3676,367.600
37,3836,383.600
38,3877,387.700
39,3542,354.200
40,3757,375.700
41,3622,362.200
42,3693,369.300
43,3744,374.400
44,3478,347.800
45,3860,386.000
46,3791,379.100
47,3860,386.000
48,3715,371.500
49,3736,373.600
50,3789,378.900
51,3650,365.000
52,5635,563.500
53,4246,424.600
54,4724,472.400
55,3969,396.900
56,5155,515.500
57,3543,354.300
58,3956,395.600
59,3769,376.900
60,3609,360.900
61,3896,389.600
62,3820,382.000
63,3939,393.900
64,3642,364.200
65,3864,386.400
66,3846,384.600
67,4166,416.600
68,3990,399.000
69,3859,385.900
70,3928,392.800
71,4374,437.400
72,3803,380.300
73,3639,363.900
74,3895,389.500
75,3718,371.800
76,3602,360.200
77,3781,378.100
78,3531,353.100
79,4058,405.800
80,4057,405.700
81,3739,373.900
82,3998,399.800
83,4182,418.200
84,3660,366.000
85,3787,378.700
86,3942,394.200
87,5508,550.800
88,4781,478.100
89,3739,373.900
90,4078,407.800
91,3731,373.100
92,3645,364.500
93,4011,401.100
94,3753,375.300
95,3691,369.100
96,3871,387.100
97,3721,372.100
98,3619,361.900
99,3928,392.800
