depth,kind,namespace,class,method,file,line,source_caller
0,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,Order,AggregatesModel/OrderAggregate/Order.cs,46,<entry>
0,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,Order,AggregatesModel/OrderAggregate/Order.cs,52,<entry>
0,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Address,Address,AggregatesModel/OrderAggregate/Address.cs,13,<entry>
0,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Address,Address,AggregatesModel/OrderAggregate/Address.cs,15,<entry>
0,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,AddOrderItem,AggregatesModel/OrderAggregate/Order.cs,71,<entry>
0,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,SetAwaitingValidationStatus,AggregatesModel/OrderAggregate/Order.cs,99,<entry>
0,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,SetStockConfirmedStatus,AggregatesModel/OrderAggregate/Order.cs,108,<entry>
0,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,SetPaidStatus,AggregatesModel/OrderAggregate/Order.cs,119,<entry>
0,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,SetShippedStatus,AggregatesModel/OrderAggregate/Order.cs,130,<entry>
1,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,Order,AddOrderStartedDomainEvent,AggregatesModel/OrderAggregate/Order.cs,170,Order.Order
1,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,OrderItem,SetNewDiscount,AggregatesModel/OrderAggregate/OrderItem.cs,44,Order.AddOrderItem
1,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,OrderItem,AddUnits,AggregatesModel/OrderAggregate/OrderItem.cs,54,Order.AddOrderItem
1,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,OrderItem,OrderItem,AggregatesModel/OrderAggregate/OrderItem.cs,21,Order.AddOrderItem
1,Constructor,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,OrderItem,OrderItem,AggregatesModel/OrderAggregate/OrderItem.cs,23,Order.AddOrderItem
1,Method,eShop.Ordering.Domain.AggregatesModel.BuyerAggregate,IBuyerRepository,Add,AggregatesModel/BuyerAggregate/IBuyerRepository.cs,8,Order.AddOrderItem
1,Method,eShop.Ordering.Domain.AggregatesModel.OrderAggregate,IOrderRepository,Add,AggregatesModel/OrderAggregate/IOrderRepository.cs,8,Order.AddOrderItem
1,Method,eShop.Ordering.Domain.Seedwork,Entity,AddDomainEvent,SeedWork/Entity.cs,22,Order.SetAwaitingValidationStatus
1,Constructor,eShop.Ordering.Domain.Events,OrderStatusChangedToAwaitingValidationDomainEvent,OrderStatusChangedToAwaitingValidationDomainEvent,Events/OrderStatusChangedToAwaitingValidationDomainEvent.cs,12,Order.SetAwaitingValidationStatus
1,Constructor,eShop.Ordering.Domain.Events,OrderStatusChangedToStockConfirmedDomainEvent,OrderStatusChangedToStockConfirmedDomainEvent,Events/OrderStatusChangedToStockConfirmedDomainEvent.cs,11,Order.SetStockConfirmedStatus
1,Constructor,eShop.Ordering.Domain.Events,OrderStatusChangedToPaidDomainEvent,OrderStatusChangedToPaidDomainEvent,Events/OrderStatusChangedToPaidDomainEvent.cs,12,Order.SetPaidStatus
1,Constructor,eShop.Ordering.Domain.Events,OrderShippedDomainEvent,OrderShippedDomainEvent,Events/OrderShippedDomainEvent.cs,7,Order.SetShippedStatus
2,Constructor,eShop.Ordering.Domain.Exceptions,OrderingDomainException,OrderingDomainException,Exceptions/OrderingDomainException.cs,8,OrderItem.SetNewDiscount
2,Constructor,eShop.Ordering.Domain.Exceptions,OrderingDomainException,OrderingDomainException,Exceptions/OrderingDomainException.cs,11,OrderItem.SetNewDiscount
2,Constructor,eShop.Ordering.Domain.Exceptions,OrderingDomainException,OrderingDomainException,Exceptions/OrderingDomainException.cs,15,OrderItem.SetNewDiscount
