depth,kind,namespace,class,method,file,line,source_caller
0,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,Buy,SubscriptionPayments/SubscriptionPayment.cs,23,<entry>
0,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,MarkAsPaid,SubscriptionPayments/SubscriptionPayment.cs,55,<entry>
0,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.Payers,PayerId,PayerId,Payers/PayerId.cs,7,<entry>
0,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,SubscriptionPeriod,Of,Subscriptions/SubscriptionPeriod.cs,13,<entry>
0,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork,MoneyValue,Of,SeedWork/MoneyValue.cs,18,<entry>
0,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItemData,PriceListItemData,PriceListItems/PriceListItemData.cs,8,<entry>
0,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceList,Create,PriceListItems/PriceList.cs,23,<entry>
0,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems.PricingStrategies,DirectValueFromPriceListPricingStrategy,DirectValueFromPriceListPricingStrategy,PriceListItems/PricingStrategies/DirectValueFromPriceListPricingStrategy.cs,10,<entry>
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceList,GetPrice,PriceListItems/PriceList.cs,30,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems.PricingStrategies,DirectValueFromPriceListPricingStrategy,GetPrice,PriceListItems/PricingStrategies/DirectValueFromPriceListPricingStrategy.cs,15,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems.PricingStrategies,DiscountedValueFromPriceListPricingStrategy,GetPrice,PriceListItems/PricingStrategies/DiscountedValueFromPriceListPricingStrategy.cs,20,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems.PricingStrategies,IPricingStrategy,GetPrice,PriceListItems/PricingStrategies/IPricingStrategy.cs,8,SubscriptionPayment.Buy
1,Property,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItemCategory,New,PriceListItems/PriceListItemCategory.cs,7,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork,AggregateRoot,CheckRule,SeedWork/AggregateRoot.cs,38,SubscriptionPayment.Buy
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Rules,PriceOfferMustMatchPriceInPriceListRule,PriceOfferMustMatchPriceInPriceListRule,SubscriptionPayments/Rules/PriceOfferMustMatchPriceInPriceListRule.cs,12,SubscriptionPayment.Buy
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments.Rules,PriceOfferMustMatchPriceInPriceListRule,PriceOfferMustMatchPriceInPriceListRule,SubscriptionRenewalPayments/Rules/PriceOfferMustMatchPriceInPriceListRule.cs,12,SubscriptionPayment.Buy
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Events,SubscriptionPaymentCreatedDomainEvent,SubscriptionPaymentCreatedDomainEvent,SubscriptionPayments/Events/SubscriptionPaymentCreatedDomainEvent.cs,7,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePayment,Apply,MeetingFeePayments/MeetingFeePayment.cs,57,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFee,Apply,MeetingFees/MeetingFee.cs,18,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Payers,Payer,Apply,Payers/Payer.cs,9,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItem,Apply,PriceListItems/PriceListItem.cs,81,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork,AggregateRoot,Apply,SeedWork/AggregateRoot.cs,36,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,Apply,SubscriptionPayments/SubscriptionPayment.cs,77,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments,SubscriptionRenewalPayment,Apply,SubscriptionRenewalPayments/SubscriptionRenewalPayment.cs,71,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,Subscription,Apply,Subscriptions/Subscription.cs,76,SubscriptionPayment.Buy
1,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork,AggregateRoot,AddDomainEvent,SeedWork/AggregateRoot.cs,15,SubscriptionPayment.Buy
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Events,SubscriptionPaymentPaidDomainEvent,SubscriptionPaymentPaidDomainEvent,SubscriptionPayments/Events/SubscriptionPaymentPaidDomainEvent.cs,7,SubscriptionPayment.MarkAsPaid
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,SubscriptionPeriod,SubscriptionPeriod,Subscriptions/SubscriptionPeriod.cs,25,SubscriptionPeriod.Of
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork.Rules,ValueOfMoneyMustNotBeNegativeRule,ValueOfMoneyMustNotBeNegativeRule,SeedWork/Rules/ValueOfMoneyMustNotBeNegativeRule.cs,9,MoneyValue.Of
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork,MoneyValue,MoneyValue,SeedWork/MoneyValue.cs,12,MoneyValue.Of
1,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceList,PriceList,PriceListItems/PriceList.cs,15,PriceList.Create
2,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Rules,PriceForSubscriptionMustBeDefinedRule,PriceForSubscriptionMustBeDefinedRule,SubscriptionPayments/Rules/PriceForSubscriptionMustBeDefinedRule.cs,17,PriceList.GetPrice
2,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItemCategory,PriceListItemCategory,PriceListItems/PriceListItemCategory.cs,13,PriceListItemCategory.New
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork.Rules,MoneyMustHaveTheSameCurrencyRule,IsBroken,SeedWork/Rules/MoneyMustHaveTheSameCurrencyRule.cs,17,AggregateRoot.CheckRule
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SeedWork.Rules,ValueOfMoneyMustNotBeNegativeRule,IsBroken,SeedWork/Rules/ValueOfMoneyMustNotBeNegativeRule.cs,14,AggregateRoot.CheckRule
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Rules,PriceForSubscriptionMustBeDefinedRule,IsBroken,SubscriptionPayments/Rules/PriceForSubscriptionMustBeDefinedRule.cs,29,AggregateRoot.CheckRule
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments.Rules,PriceOfferMustMatchPriceInPriceListRule,IsBroken,SubscriptionPayments/Rules/PriceOfferMustMatchPriceInPriceListRule.cs,20,AggregateRoot.CheckRule
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments.Rules,PriceOfferMustMatchPriceInPriceListRule,IsBroken,SubscriptionRenewalPayments/Rules/PriceOfferMustMatchPriceInPriceListRule.cs,20,AggregateRoot.CheckRule
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePayment,When,MeetingFeePayments/MeetingFeePayment.cs,62,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePayment,When,MeetingFeePayments/MeetingFeePayment.cs,69,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePayment,When,MeetingFeePayments/MeetingFeePayment.cs,74,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFee,When,MeetingFees/MeetingFee.cs,64,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFee,When,MeetingFees/MeetingFee.cs,73,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFee,When,MeetingFees/MeetingFee.cs,78,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFee,When,MeetingFees/MeetingFee.cs,83,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Payers,Payer,When,Payers/Payer.cs,54,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItem,When,PriceListItems/PriceListItem.cs,83,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItem,When,PriceListItems/PriceListItem.cs,88,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItem,When,PriceListItems/PriceListItem.cs,98,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItem,When,PriceListItems/PriceListItem.cs,103,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,When,SubscriptionPayments/SubscriptionPayment.cs,82,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,When,SubscriptionPayments/SubscriptionPayment.cs,87,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPayment,When,SubscriptionPayments/SubscriptionPayment.cs,97,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments,SubscriptionRenewalPayment,When,SubscriptionRenewalPayments/SubscriptionRenewalPayment.cs,76,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments,SubscriptionRenewalPayment,When,SubscriptionRenewalPayments/SubscriptionRenewalPayment.cs,87,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,Subscription,When,Subscriptions/Subscription.cs,81,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,Subscription,When,Subscriptions/Subscription.cs,91,MeetingFeePayment.Apply
2,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,Subscription,When,Subscriptions/Subscription.cs,99,MeetingFeePayment.Apply
3,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFeeId,MeetingFeeId,MeetingFees/MeetingFeeId.cs,7,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePaymentStatus,Of,MeetingFeePayments/MeetingFeePaymentStatus.cs,20,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingFeeStatus,Of,MeetingFees/MeetingFeeStatus.cs,22,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.PriceListItems,PriceListItemCategory,Of,PriceListItems/PriceListItemCategory.cs,18,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionPayments,SubscriptionPaymentStatus,Of,SubscriptionPayments/SubscriptionPaymentStatus.cs,20,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.SubscriptionRenewalPayments,SubscriptionRenewalPaymentStatus,Of,SubscriptionRenewalPayments/SubscriptionRenewalPaymentStatus.cs,21,MeetingFeePayment.When
3,Method,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,SubscriptionStatus,Of,Subscriptions/SubscriptionStatus.cs,18,MeetingFeePayment.When
3,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFees,MeetingId,MeetingId,MeetingFees/MeetingId.cs,7,MeetingFee.When
3,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,SubscriptionId,SubscriptionId,Subscriptions/SubscriptionId.cs,7,SubscriptionRenewalPayment.When
3,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.Subscriptions,SubscriberId,SubscriberId,Subscriptions/SubscriberId.cs,7,Subscription.When
4,Constructor,CompanyName.MyMeetings.Modules.Payments.Domain.MeetingFeePayments,MeetingFeePaymentStatus,MeetingFeePaymentStatus,MeetingFeePayments/MeetingFeePaymentStatus.cs,15,MeetingFeePaymentStatus.Of
