workload,iteration,parsers_hits_delta,parsers_misses_delta,params_hits_delta,params_misses_delta
B,0,1,0,1,0
B,1,1,0,1,0
B,2,1,0,1,0
B,3,1,0,1,0
B,4,1,0,1,0
B,5,1,0,1,0
B,6,1,0,1,0
B,7,1,0,1,0
B,8,1,0,1,0
B,9,1,0,1,0
B,10,1,0,1,0
B,11,1,0,1,0
B,12,1,0,1,0
B,13,1,0,1,0
B,14,1,0,1,0
B,15,1,0,1,0
B,16,1,0,1,0
B,17,1,0,1,0
B,18,1,0,1,0
B,19,1,0,1,0
B,20,1,0,1,0
B,21,1,0,1,0
B,22,1,0,1,0
B,23,1,0,1,0
B,24,1,0,1,0
B,25,1,0,1,0
B,26,1,0,1,0
B,27,1,0,1,0
B,28,1,0,1,0
B,29,1,0,1,0
B,30,1,0,1,0
B,31,1,0,1,0
B,32,1,0,1,0
B,33,1,0,1,0
B,34,1,0,1,0
B,35,1,0,1,0
B,36,1,0,1,0
B,37,1,0,1,0
B,38,1,0,1,0
B,39,1,0,1,0
B,40,1,0,1,0
B,41,1,0,1,0
B,42,1,0,1,0
B,43,1,0,1,0
B,44,1,0,1,0
B,45,1,0,1,0
B,46,1,0,1,0
B,47,1,0,1,0
B,48,1,0,1,0
B,49,1,0,1,0
B,50,1,0,1,0
B,51,1,0,1,0
B,52,1,0,1,0
B,53,1,0,1,0
B,54,1,0,1,0
B,55,1,0,1,0
B,56,1,0,1,0
B,57,1,0,1,0
B,58,1,0,1,0
B,59,1,0,1,0
B,60,1,0,1,0
B,61,1,0,1,0
B,62,1,0,1,0
B,63,1,0,1,0
B,64,1,0,1,0
B,65,1,0,1,0
B,66,1,0,1,0
B,67,1,0,1,0
B,68,1,0,1,0
B,69,1,0,1,0
B,70,1,0,1,0
B,71,1,0,1,0
B,72,1,0,1,0
B,73,1,0,1,0
B,74,1,0,1,0
B,75,1,0,1,0
B,76,1,0,1,0
B,77,1,0,1,0
B,78,1,0,1,0
B,79,1,0,1,0
B,80,1,0,1,0
B,81,1,0,1,0
B,82,1,0,1,0
B,83,1,0,1,0
B,84,1,0,1,0
B,85,1,0,1,0
B,86,1,0,1,0
B,87,1,0,1,0
B,88,1,0,1,0
B,89,1,0,1,0
B,90,1,0,1,0
B,91,1,0,1,0
B,92,1,0,1,0
B,93,1,0,1,0
B,94,1,0,1,0
B,95,1,0,1,0
B,96,1,0,1,0
