tier,tier_label,n,iteration,format,compression,encoded_bytes,payload_bytes,framing_overhead_bytes,git_sha
1,arithmetic-shallow,100,1,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,1,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,1,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,2,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,2,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,2,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,3,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,3,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,3,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,4,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,4,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,4,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,5,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,5,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,5,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,6,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,6,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,6,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,7,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,7,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,7,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,8,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,8,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,8,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,9,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,9,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,9,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,10,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,10,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,10,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,11,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,11,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,11,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,12,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,12,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,12,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,13,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,13,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,13,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,14,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,14,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,14,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,15,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,15,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,15,literal,gzip,104,79,25,99e8202
1,arithmetic-shallow,100,16,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,16,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,16,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,17,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,17,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,17,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,18,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,18,literal,none,118,93,25,99e8202
