run_tag,backend,N,layer,rep,is_warmup,sync_window_ms,apply_window_ms,total_ms,records_applied,events_per_sec
99e8202,FileSystem,1000,1,0,1,28.425,411.518,439.944,1000,2273.0
99e8202,FileSystem,1000,2,0,1,10.466,404.481,414.947,1000,2409.9
99e8202,FileSystem,1000,1,1,0,18.446,424.789,443.235,1000,2256.1
99e8202,FileSystem,1000,2,1,0,7.309,423.575,430.884,1000,2320.8
99e8202,FileSystem,1000,1,2,0,22.826,396.874,419.701,1000,2382.6
99e8202,FileSystem,1000,2,2,0,8.338,396.912,405.250,1000,2467.6
99e8202,FileSystem,10000,1,0,1,33.983,4655.087,4689.070,10000,2132.6
99e8202,FileSystem,10000,2,0,1,21.432,4077.854,4099.285,10000,2439.4
99e8202,FileSystem,10000,1,1,0,37.523,4126.663,4164.187,10000,2401.4
99e8202,FileSystem,10000,2,1,0,21.078,3892.977,3914.055,10000,2554.9
99e8202,FileSystem,10000,1,2,0,25.022,4112.903,4137.925,10000,2416.7
99e8202,FileSystem,10000,2,2,0,20.375,3933.935,3954.310,10000,2528.9
99e8202,FileSystem,100000,1,0,1,178.948,47143.115,47322.063,100000,2113.2
99e8202,FileSystem,100000,2,0,1,164.738,43595.058,43759.796,100000,2285.2
99e8202,FileSystem,100000,1,1,0,175.645,46671.372,46847.017,100000,2134.6
99e8202,FileSystem,100000,2,1,0,169.405,43568.496,43737.901,100000,2286.3
99e8202,FileSystem,100000,1,2,0,158.926,46037.081,46196.008,100000,2164.7
99e8202,FileSystem,100000,2,2,0,178.292,43461.471,43639.762,100000,2291.5
99e8202,MySQL,1000,1,0,1,10.404,1114.679,1125.083,1000,888.8
99e8202,MySQL,1000,2,0,1,7.868,1042.568,1050.436,1000,952.0
99e8202,MySQL,1000,1,1,0,10.672,1062.688,1073.360,1000,931.7
99e8202,MySQL,1000,2,1,0,8.120,1031.188,1039.308,1000,962.2
99e8202,MySQL,1000,1,2,0,12.020,1060.385,1072.404,1000,932.5
99e8202,MySQL,1000,2,2,0,8.316,1045.399,1053.715,1000,949.0
99e8202,MySQL,10000,1,0,1,29.332,10620.981,10650.313,10000,938.9
99e8202,MySQL,10000,2,0,1,22.697,10476.864,10499.561,10000,952.4
99e8202,MySQL,10000,1,1,0,33.730,10963.009,10996.739,10000,909.4
99e8202,MySQL,10000,2,1,0,22.489,11184.648,11207.136,10000,892.3
99e8202,MySQL,10000,1,2,0,24.942,11874.613,11899.555,10000,840.4
99e8202,MySQL,10000,2,2,0,35.371,11183.244,11218.615,10000,891.4
99e8202,MySQL,100000,1,0,1,179.870,103701.138,103881.008,100000,962.6
99e8202,MySQL,100000,2,0,1,173.255,102743.016,102916.271,100000,971.7
99e8202,MySQL,100000,1,1,0,168.023,105775.346,105943.369,100000,943.9
99e8202,MySQL,100000,2,1,0,165.510,104795.786,104961.296,100000,952.7
99e8202,MySQL,100000,1,2,0,178.406,103916.279,104094.685,100000,960.7
99e8202,MySQL,100000,2,2,0,168.992,105830.416,105999.408,100000,943.4
99e8202,SQLServer,1000,1,0,1,11.100,1292.019,1303.119,1000,767.4
99e8202,SQLServer,1000,2,0,1,8.086,1230.990,1239.076,1000,807.1
99e8202,SQLServer,1000,1,1,0,13.273,1222.416,1235.688,1000,809.3
99e8202,SQLServer,1000,2,1,0,9.079,1197.338,1206.416,1000,828.9
99e8202,SQLServer,1000,1,2,0,12.801,1243.422,1256.223,1000,796.0
99e8202,SQLServer,1000,2,2,0,8.343,1207.377,1215.720,1000,822.6
99e8202,SQLServer,10000,1,0,1,38.605,12291.817,12330.421,10000,811.0
99e8202,SQLServer,10000,2,0,1,21.043,12139.808,12160.851,10000,822.3
99e8202,SQLServer,10000,1,1,0,23.797,12215.071,12238.868,10000,817.1
99e8202,SQLServer,10000,2,1,0,21.259,12197.145,12218.404,10000,818.4
99e8202,SQLServer,10000,1,2,0,24.142,12744.538,12768.679,10000,783.2
99e8202,SQLServer,10000,2,2,0,21.418,12621.004,12642.422,10000,791.0
99e8202,SQLServer,100000,1,0,1,162.926,131976.929,132139.855,100000,756.8
99e8202,SQLServer,100000,2,0,1,165.787,126436.333,126602.119,100000,789.9
99e8202,SQLServer,100000,1,1,0,179.415,131907.218,132086.633,100000,757.1
99e8202,SQLServer,100000,2,1,0,167.881,129736.025,129903.906,100000,769.8
99e8202,SQLServer,100000,1,2,0,178.965,128802.353,128981.318,100000,775.3
99e8202,SQLServer,100000,2,2,0,165.636,132209.461,132375.097,100000,755.4
