depth,compile_us
5,11101.800
5,655.200
5,615.100
5,548.100
5,542.600
5,565.200
5,557.400
5,549.600
5,558.800
5,556.300
5,560.100
5,587.700
5,548.500
5,549.800
5,560.500
5,545.400
5,554.700
5,536.100
5,545.500
5,548.300
5,561.800
5,553.800
5,548.500
5,549.500
5,598.200
5,695.900
5,788.200
5,572.000
5,668.100
5,548.200
5,576.900
5,619.300
5,567.600
5,595.800
5,859.600
5,548.700
5,550.300
5,552.500
5,550.300
5,547.000
5,551.800
5,550.300
5,547.400
5,629.400
5,555.200
5,558.000
5,541.100
5,563.200
5,598.900
5,563.300
15,849.300
15,822.300
15,808.200
15,806.800
15,813.000
15,838.500
15,914.900
15,821.500
15,846.900
15,811.900
15,814.500
15,786.000
15,770.400
15,824.400
15,823.400
15,853.900
15,776.000
15,787.900
15,811.800
15,773.800
15,769.900
15,818.300
15,787.400
15,862.000
15,1041.700
15,833.300
15,906.600
15,822.800
15,827.200
15,819.800
15,872.200
15,828.700
15,852.200
15,831.300
15,864.600
15,825.200
15,822.400
15,833.300
15,827.000
15,831.900
15,894.600
15,940.000
15,841.100
15,904.200
15,820.500
15,895.800
15,848.500
15,885.900
15,834.900
15,829.800
30,1215.600
30,1218.800
30,1206.700
30,1216.300
30,1248.200
30,1797.500
30,1230.900
30,1226.800
30,1214.200
30,1332.900
30,1357.700
30,1308.900
30,1281.100
30,1237.800
30,1229.500
30,1270.800
30,1458.100
30,1312.200
30,1208.000
30,1220.600
30,1334.700
30,1339.500
30,1367.500
30,1278.800
30,1259.900
30,1243.700
30,1499.600
30,1375.200
30,1337.600
30,1210.600
30,1213.400
30,1208.100
30,1208.300
30,1182.100
30,1180.200
30,1156.700
30,1155.200
30,1262.000
30,1543.300
30,1274.500
30,1281.700
30,1180.900
30,1146.700
30,1279.700
30,1373.400
30,1216.900
30,1208.600
30,1239.200
30,1212.800
30,1272.100
50,5319.100
50,2146.500
50,2197.800
50,2024.700
50,1914.900
50,2065.100
50,2022.300
50,1910.700
50,2081.500
50,2146.000
50,2307.900
50,2119.200
50,2089.300
50,2034.800
50,2006.100
50,1963.100
50,2027.500
50,2020.900
50,1940.400
50,2036.400
50,2142.000
50,1966.200
50,1908.000
50,1954.300
50,2531.200
50,2144.900
50,2069.300
50,2269.800
50,2055.300
50,2070.900
50,2278.100
50,2073.100
50,2015.200
50,2040.400
50,2399.100
50,2004.200
50,2003.400
50,2276.100
50,2074.200
50,2037.000
50,2110.300
50,2200.200
50,2062.100
50,2303.200
50,2016.300
50,2016.800
50,2005.700
50,2086.500
50,2286.300
50,2038.300
80,3311.400
80,3276.300
80,3347.300
80,3396.400
80,3258.400
80,3222.700
80,6408.400
80,3571.400
80,3330.200
80,3310.900
80,3521.400
80,3740.400
80,3244.900
80,3164.900
80,3139.100
80,3556.900
80,3273.200
80,3261.300
80,3201.900
80,3733.000
80,3223.400
80,3223.300
80,3240.100
80,3566.200
80,3263.600
80,3226.500
80,3244.400
80,3508.200
80,3612.200
80,3230.900
80,3215.800
80,3239.600
80,3783.200
80,3334.500
80,3261.100
80,3582.900
80,3487.800
80,3236.000
80,3239.700
80,3257.600
80,3488.600
80,3415.000
80,3314.400
80,3581.200
80,3317.500
80,9319.000
80,3497.100
80,3601.200
80,3288.000
80,3241.600
100,4158.700
100,4490.800
100,4261.700
100,4307.200
100,4197.800
100,4215.700
100,4248.900
100,4141.700
100,4527.500
100,4439.500
100,4109.500
100,4518.500
100,4514.500
100,4143.800
100,4219.600
100,4481.100
100,4212.900
100,4120.800
100,4749.900
100,4241.700
100,4237.400
100,4887.000
100,4395.300
100,4233.900
100,4725.000
100,4370.200
100,4331.000
100,4452.800
100,4223.300
100,4513.200
100,4229.800
100,4308.800
100,4761.900
100,4322.700
100,4191.300
100,4303.900
100,4253.400
100,4252.600
100,4164.500
100,4718.500
100,4326.000
100,4511.500
100,4506.500
100,4232.800
100,4277.300
100,4518.500
100,4188.400
100,4205.100
100,4136.900
100,4615.200
